track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Saint Claude (Version Française),Christine and the Queens,Chaleur Humaine,5Ai8XBxieq1CR263UdhGdF,0.5,0.536,0.445,8,-11.522,1,0.0491,0.344,0.0205,0.103,0.155,98.925,239554,4
Sorry About the Carpet,Agar Agar,The Dog and the Future,5z4rXPO6B5SSMVnRfPWb61,0.47,0.728,0.388,9,-11.788,0,0.0347,0.0221,0.884,0.0932,0.57,94.999,368347,4
Mountains (we met),Christine and the Queens,La vita nuova,0E2GdEsBywD8h4NvlqcuUK,0.44,0.673,0.4,11,-7.364,1,0.0453,0.607,0.00125,0.13,0.487,145.905,169359,4
Prettiest Virgin - Myth Syzer Remix,Agar Agar,Prettiest Virgin (Myth Syzer Remix),3ON4GEKRIityOUWPjRzGLu,0.47,0.779,0.646,0,-3.734,0,0.0913,0.434,0.00205,0.108,0.437,139.98,254143,4
PRONTO!,CLUBZ,PRONTO!,1V1S26dHvmZXbwB6TvwXQb,0.48,0.85,0.421,1,-10.801,0,0.11,0.599,0.295,0.101,0.276,105.026,208615,4
A la Folie,Juliette Armanet,Petite Amie (Edition Délice),6EkR0w8oSHHuONFPsZW485,0.56,0.698,0.535,5,-5.998,1,0.0244,0.131,0.0415,0.0991,0.213,102.969,239573,4
Nagano,CLUBZ,Destellos,5qTnlwbe18VRvDJQYAreGW,0.52,0.588,0.783,5,-5.788,0,0.0421,0.0112,0.71,0.101,0.876,79.496,183813,4
La piscine,Hypnolove,Plexus,1iSzIT6j7be9u0oNTHutRn,0.43,0.755,0.805,5,-2.972,0,0.0372,0.0366,0.0518,0.292,0.722,119.977,228157,4
Putita,Babasónicos,Infame,0SaKhiBPgdRaQKA7Bxu3ek,0.64,0.477,0.753,0,-6.112,1,0.0343,0.514,0.00381,0.17,0.521,178.013,225707,4
El Loco,Babasónicos,Jessico,2jEjxOyKqMpkcThWl697hf,0.64,0.687,0.387,11,-9.842,0,0.0273,0.203,0.000335,0.0913,0.602,112.722,185826,4
L’amour en Solitaire,Juliette Armanet,Petite Amie (Edition Délice),0d8umBN0EQqPyYPWFnUM22,0.58,0.801,0.505,5,-7.518,0,0.0326,0.361,3.89e-05,0.271,0.536,128.021,175227,4
Algo Está Cambiando,Bomba Estéreo,Amanecer,5dLz5CRzW8RcNEptn0NtOi,0.5,0.537,0.61,1,-8.263,0,0.162,0.626,0.00285,0.0946,0.0501,110.056,269347,4
Nada,Christine and the Queens,La vita nuova,56F2CUBNyIt4s81FI2Ng0E,0.43,0.754,0.539,7,-8.693,1,0.0409,0.187,0.138,0.104,0.247,96.031,167120,4
Batismo,Populous,Azulejos,4RIlInNHIduhE7l84PODhK,0.47,0.785,0.707,7,-10.553,0,0.273,0.4,0.919,0.105,0.11,89.029,191924,4
Comme si,Christine and the Queens,Chris,3yilxPp0jUo9w2xyh5ZSqZ,0.43,0.704,0.644,2,-6.818,1,0.0542,0.232,6.19e-05,0.102,0.778,116.001,232333,4
Camino Del Sol,Antena,Camino Del Sol,1ZHiDjP00LrTuwSkEvRZIC,0.43,0.513,0.466,6,-16.49,1,0.0465,0.717,0.68,0.103,0.601,168.378,222680,4
Tilted (Paradis Remix),Christine and the Queens,Tilted (Remixes),1CndZRN2Q3bFpTxL7j0Kcj,0.32,0.698,0.497,7,-11.987,1,0.0826,0.578,0.00138,0.0549,0.222,99.991,350077,4
Old Downtown,Camp Claude,Double Dreaming,07J5gvVBcXUPcsa9KVYwHu,0.56,0.676,0.449,1,-7.058,0,0.0399,0.211,0.00475,0.129,0.322,87.937,169907,4
Canopée - Superorganism Remix,Polo & Pan,Canopée (Superorganism Remix),1F3ati0gSU5eAF4YMJZrFQ,0.35,0.607,0.546,5,-7.394,0,0.0769,0.305,0.0449,0.108,0.332,95.931,246827,4
Tu es beau,Yelle,Pop Up,3Q434tG4MdftCIgsYP0xQa,0.37,0.933,0.769,2,-6.944,1,0.0401,0.282,9.21e-05,0.0344,0.862,108.196,347280,4
Irréversible - Private Agenda Remix,Fhin,Irréversible (Private Agenda Remix),2995c8VQQhC5JokmJZ9PWs,0.43,0.7,0.655,8,-10.985,0,0.047,0.155,0.745,0.075,0.53,90.015,356000,4
Make It,Isaac Delusion,Make It,2FG22iAgcX5KeeDZG8ztBi,0.45,0.634,0.435,0,-8.455,1,0.0301,0.365,0.000456,0.3,0.311,114.989,276573,4
Mar (Lo Que Siento),Bomba Estéreo,Amanecer,2K1meYaIxerapOrEief7JH,0.48,0.58,0.724,1,-6.27,0,0.0318,0.491,0.0207,0.119,0.344,112.981,229547,4
Emancipense,Yelle,L'Ère du Verseau,1KvgSMOsFH2hgGMg2yNSzE,0.43,0.74,0.549,1,-9.07,0,0.0417,0.000836,0.796,0.109,0.706,113.009,173554,4
Cool Cat,Juliette Armanet,Souris Calle,3Zv9r86H4TdZ42xyes7fK0,0.39,0.755,0.415,1,-12.611,0,0.0412,0.537,0.136,0.0782,0.752,148.016,221267,4
Longue la nuit (Kevin Parker remix),Barbagallo,Longue la nuit (Kevin Parker remix),1OXEjcTgoTRfizYIgM2FMW,0.38,0.687,0.61,11,-10.317,0,0.153,0.00677,0.599,0.724,0.364,102.983,247627,3
Quand Tu Souris,Paradis,Recto Verso,28TU5QBtimczFlllih8vE8,0.42,0.68,0.459,4,-11.017,0,0.0355,0.101,0.126,0.0917,0.633,127.004,302440,4
Gengis,Polo & Pan,Gengis,546GqLBcLLAigBK5DXc1R8,0.47,0.702,0.554,8,-9.13,1,0.0427,0.353,0.894,0.171,0.0938,122.0,430307,4
Palmeras,CLUBZ,Destellos,6yAdoDH69y3N0MicAczpVp,0.49,0.719,0.664,9,-7.847,0,0.0581,0.0402,0.426,0.104,0.942,124.001,237093,4
Carnavalera,Bomba Estéreo,Carnavalera,2qyyS2lOdC7oxZDQ7tCuY0,0.47,0.704,0.684,7,-8.535,1,0.131,0.0284,1.17e-05,0.215,0.35,134.041,227984,4
disorder,Isaac Delusion,uplifters,2UzY70JapwKLWAX2hLFVMm,0.48,0.603,0.692,3,-5.754,0,0.0359,0.0393,0.0208,0.144,0.394,124.976,219240,4
Sorry About the Carpet - Edit,Agar Agar,Sorry About the Carpet (Edit),2uZYoCCXqeyGrPpPAdwJst,0.47,0.705,0.325,9,-12.685,0,0.0441,0.0506,0.83,0.104,0.54,190.024,265893,4
dominique,Ela Minus,acts of rebellion,4RYeyNZ7ZlMJqVhoJTvMgp,0.49,0.703,0.819,11,-6.579,1,0.0553,0.0203,0.782,0.0712,0.468,100.997,234383,4
Complètement fou,Yelle,Complètement fou,3rfTe2727kQq0XgI9Z2W5v,0.39,0.823,0.506,0,-5.516,1,0.0966,0.0986,0.000503,0.577,0.512,126.052,230467,4
Épocas,CLUBZ,Épocas,3izZ5EFLybEdk8q5dCh1eD,0.47,0.688,0.855,0,-5.834,1,0.0326,0.00911,0.0601,0.328,0.642,121.011,221853,4
Sur une chanson en français,Paradis,Ete a la maison,0Is0NdjFFf6CbjeWvQYkig,0.31,0.731,0.498,11,-7.7,0,0.046,0.000234,0.311,0.258,0.665,123.018,314636,4
Áfrika,CLUBZ,Destellos,5cY6iwmzNfroYMCuLOlJio,0.51,0.578,0.727,1,-4.71,1,0.0696,0.0512,0.23,0.105,0.79,194.053,223667,4
around.away,Fhin,around.away,1PXrUgDL8ZZQbRtMeivd0L,0.4,0.522,0.329,3,-11.737,1,0.0319,0.836,0.815,0.0749,0.0361,140.002,301160,4
Noir,Yelle,L'Ère du Verseau,6lqFOh4asrkApenj6JBnDG,0.41,0.88,0.574,10,-6.936,0,0.0503,0.0112,2.77e-06,0.0922,0.883,121.018,192419,4
Dorothy,Polo & Pan,Caravelle,4e6e17eKV69mfBM4xkCBMH,0.42,0.801,0.454,8,-9.582,1,0.0572,0.02,0.339,0.0965,0.4,118.001,316907,4
La Ballade de Jim,Paradis,Parfait Tirage b/w La Ballade de Jim,2ZSl6yL8NZHx2lUuBEl9Vm,0.44,0.385,0.474,10,-10.211,1,0.0656,0.436,0.846,0.082,0.321,179.806,412671,3
Dragon Pom Z,Polo & Pan,Dorothy,25KQ7BI8UIbWlyK9QqaTlr,0.43,0.789,0.569,1,-9.858,1,0.075,0.372,0.883,0.0577,0.182,112.99,317208,4
Pop The Glock,Uffie,Sex Dreams And Denim Jeans,0fotWs4R5dPWw7YnJEtRw0,0.39,0.933,0.539,10,-7.652,0,0.106,0.318,0.0,0.154,0.399,111.961,210307,4
Duele,Bomba Estéreo,Ayo,4wlUYFkMPKCjyslNWZzabF,0.47,0.766,0.82,4,-4.26,0,0.172,0.0194,0.0,0.152,0.528,144.947,224094,4
"Rouge soleil - From ""Emily in Paris"" Season 1",Ravages,"Rouge soleil (From ""Emily in Paris"" Season 1)",3shPtwr3SF1kEJR9HeXnhX,0.34,0.808,0.419,0,-11.395,1,0.0613,0.236,0.000135,0.108,0.241,97.999,221705,4
Rebirth,Napkey,Vanguard,0PzlvigFVTvylxf1YetEvH,0.52,0.723,0.51,11,-12.085,1,0.0367,0.00436,0.264,0.691,0.208,107.983,311111,4
Goya Soda,Christine and the Queens,Chris,02JpB24HVWvNgUFzlwV0jN,0.41,0.726,0.463,8,-7.777,1,0.0298,0.206,5.69e-06,0.144,0.229,109.022,324587,4
Vue d'en face,Yelle,L'Ère du Verseau,1HTHa7DI817mV9pZrwG5s7,0.44,0.788,0.593,6,-6.776,1,0.0485,0.034,0.00108,0.0527,0.451,123.967,202156,4
Aqualand,Polo & Pan,Caravelle,5RHNO7HwvIP50s2DMHXSCC,0.4,0.759,0.784,8,-6.434,1,0.032,0.282,0.0337,0.301,0.242,112.007,257747,4
Mieux Que Tout,Paradis,Recto Verso,7bCKtwq1Xwve3NLFehRMQY,0.41,0.794,0.837,11,-8.022,0,0.096,0.113,0.755,0.123,0.612,111.003,261573,4
Ba$$in,Yelle,Complètement fou,2Ab2xJJw3hcXBi7LZM3PC5,0.38,0.802,0.731,4,-4.239,0,0.0387,0.0139,0.184,0.0644,0.659,124.608,179373,4
Le lac d'or,Moodoïd,Le lac d'or - Single,7eqIkrK6sc59JKk1nafFeN,0.31,0.501,0.796,2,-6.792,1,0.0326,0.137,0.000118,0.235,0.547,119.997,303124,4
La marcheuse,Christine and the Queens,Chris,5IV5Wh6hdncGcsnbVhhVug,0.41,0.821,0.578,1,-6.566,1,0.0487,0.384,5.92e-05,0.139,0.517,107.02,256053,4
La lune,Barbagallo,La lune,1F8cEuGiVcFpJsW9e2V2Uz,0.39,0.703,0.675,2,-8.264,0,0.0322,0.128,0.0782,0.579,0.872,110.014,207750,4
Prenderemos Fuego al Cielo,Francisca Valenzuela,Tajo Abierto,6aUfhFxShApcQYCj67TDCT,0.49,0.733,0.802,9,-4.527,0,0.0331,0.26,0.0,0.102,0.553,119.944,269288,4
